suction_mm,time_s,signal
9.0,0.0,186.6887
9.0,4.0,185.1152
9.0,8.0,182.4116
9.0,12.0,180.5827
9.0,16.0,178.3695
9.0,20.0,176.3539
9.0,24.0,174.3042
9.0,28.0,172.107
9.0,32.0,170.5197
9.0,36.0,168.6622
9.0,40.0,166.1945
9.0,44.0,164.3153
9.0,48.0,161.9592
9.0,52.0,159.6972
9.0,56.0,158.0465
9.0,60.0,156.0496
9.0,64.0,153.9297
9.0,68.0,151.9884
9.0,72.0,149.9798
9.0,76.0,147.5517
9.0,80.0,145.4517
9.0,84.0,143.7431
9.0,88.0,141.6949
9.0,92.0,139.4171
9.0,96.0,137.4642
9.0,100.0,135.8528
9.0,104.0,133.9023
9.0,108.0,131.8304
9.0,112.0,129.7292
9.0,116.0,127.8417
9.0,120.0,126.0891
9.0,124.0,124.0791
9.0,128.0,122.3625
9.0,132.0,120.3278
5.0,0.0,85.52998
5.0,4.0,83.77188
5.0,8.0,81.47157
5.0,12.0,79.04279
5.0,16.0,76.62141
5.0,20.0,74.3175
5.0,24.0,71.83071
5.0,28.0,69.23696
5.0,32.0,66.96564
5.0,36.0,64.65144
5.0,40.0,62.4947
5.0,44.0,59.98807
5.0,48.0,57.66523
5.0,52.0,55.53265
5.0,56.0,53.00679
5.0,60.0,50.64918
5.0,64.0,48.33992
5.0,68.0,46.12691
5.0,72.0,43.89941
5.0,76.0,41.59282
5.0,80.0,39.34249
5.0,84.0,37.10028
5.0,88.0,34.85807
5.0,92.0,32.64671
5.0,96.0,30.545
5.0,100.0,28.54675
5.0,104.0,26.65587
5.0,108.0,24.46642
14.0,0.0,494.3123
14.0,4.0,493.4044
14.0,8.0,491.589
14.0,12.0,489.8638
14.0,16.0,486.9616
14.0,20.0,486.1072
14.0,24.0,483.7689
14.0,28.0,481.1393
14.0,32.0,479.234
14.0,36.0,477.8641
14.0,40.0,475.3067
14.0,44.0,473.5236
14.0,48.0,472.3765
14.0,52.0,470.9297
14.0,56.0,469.3156
14.0,60.0,467.8184
14.0,64.0,466.0106
14.0,68.0,463.5143
14.0,72.0,462.519
14.0,76.0,460.4544
14.0,80.0,458.3671
14.0,84.0,456.5824
14.0,88.0,454.1185
14.0,92.0,453.3314
14.0,96.0,452.1147
14.0,100.0,449.7658
14.0,104.0,447.2184
14.0,108.0,446.6591
14.0,112.0,445.3874
14.0,116.0,444.0248
14.0,120.0,441.7766
14.0,124.0,440.133
14.0,128.0,438.5237
14.0,132.0,437.7283
26.0,0.0,385.5323
26.0,4.0,384.3156
26.0,8.0,383.4769
26.0,12.0,382.4668
26.0,16.0,380.5993
26.0,20.0,379.623
26.0,24.0,378.1589
26.0,28.0,376.9006
26.0,32.0,375.6074
26.0,36.0,374.609
26.0,40.0,372.9423
26.0,44.0,371.5317
26.0,48.0,370.5099
26.0,52.0,369.4173
26.0,56.0,368.7057
26.0,60.0,367.934
26.0,64.0,366.059
26.0,68.0,365.1611
26.0,72.0,364.2901
26.0,76.0,363.0077
26.0,80.0,361.2555
26.0,84.0,359.7686
26.0,88.0,358.4838
26.0,92.0,357.3712
26.0,96.0,356.3371
26.0,100.0,355.1288
26.0,104.0,354.2439
26.0,108.0,353.1011
26.0,112.0,351.6738
26.0,116.0,350.4948
26.0,120.0,349.2684
26.0,124.0,348.6962
26.0,128.0,347.5926
26.0,132.0,346.6059
26.0,136.0,345.4404
26.0,140.0,344.4478
26.0,144.0,343.1184
26.0,148.0,341.9103
26.0,152.0,340.5917
26.0,156.0,339.3755
26.0,160.0,338.4962
